tract2010,town,totalMathAvgScaleScoreZ-CSDE2013,totalReadAvgScaleScoreZ-CSDE2013,collegeZ-ACS0812,publicassistZ-ACS0812,povertyZ-ACS0812,unemploymentZ-ACS0812,owneroccupiedZ-ACS0812,vacancyZ-ACS0812,employment_access_index-LAIv2,job_diversity_index-LAIv2,jobchangeZ-ACS0812,crimeZ-UCR2010,index2014,level2014
724,Bridgeport,-1.812914943,-1.774407209,-0.472035118,-0.176331565,0.330352989,0.432469163,-0.008869083,0.493373078,0.386256234,0.493208039,-0.286137766,-1.032792511,-0.285652391,Low
725,Bridgeport,-1.812914943,-1.774407209,-0.593364204,0.301225625,0.036567144,0.023738396,0.418099774,0.567709618,0.280801541,0.802388645,-0.286137766,-1.032792511,-0.255757158,Low
726,Bridgeport,-1.812914943,-1.774407209,-0.255770641,0.373859166,-0.411129764,-1.144881392,0.299655023,0.686710688,0.17108197,0.712435503,-0.286137766,-1.032792511,-0.372857656,Low
727,Bridgeport,-1.812914943,-1.774407209,-0.562405499,0.520528745,0.692333396,0.373600231,0.146296318,0.388414577,0.266977258,0.504814892,-0.286137766,-1.032792511,-0.214641043,Low
728,Bridgeport,-1.812914943,-1.774407209,-1.030721111,-0.959315949,-0.91932942,-1.298421201,-0.291023123,0.552456045,0.326544772,0.434596713,-0.286137766,-1.032792511,-0.674288809,Very Low
729,Bridgeport,-1.812914943,-1.774407209,-0.729184374,0.200792481,-0.250501579,-0.908985083,0.243625787,0.441577234,0.30996569,0.287035108,-0.286137766,-1.032792511,-0.442660597,Very Low
730,Bridgeport,-1.812914943,-1.774407209,0.156843916,0.118860407,0.15801012,-0.401914674,-0.292054121,0.720104276,0.232009324,0.202967312,-0.286137766,-1.032792511,-0.334285489,Low
731,Bridgeport,-1.812914943,-1.774407209,-0.964578074,-1.066566777,-1.233936643,-0.377353516,-0.70617437,-0.785334721,0.197028063,0.215442937,-0.286137766,-1.032792511,-0.802310461,Very Low
732,Bridgeport,-1.812914943,-1.774407209,-1.079253507,0.004574372,-0.001155389,0.14403816,0.07862739,0.086119889,0.413795509,0.257113753,-0.286137766,-1.032792511,-0.416866021,Very Low
733,Bridgeport,-1.812914943,-1.774407209,-0.783015697,-0.713249845,-0.697188504,-0.591657836,-0.593095077,-1.365092736,0.515390479,0.214228202,-0.286137766,-1.032792511,-0.743327787,Very Low
734,Bridgeport,-1.812914943,-1.774407209,-1.030015072,-0.846208615,-0.863090961,-1.213683315,-0.722875719,-0.114327247,0.5755463,0.4911253,-0.286137766,-1.032792511,-0.71914848,Very Low
735,Bridgeport,-1.812914943,-1.774407209,-1.774053958,-1.428110072,-1.400813342,-1.659327156,-1.120182668,-1.949021347,0.825405307,0.677459973,-0.286137766,-1.032792511,-1.061241308,Very Low
